"Table for differential expressed proteins. The raw data of proteomics reported in this figure part have been deposited in the OMIX, China National Center for Bioinformation (OMIX010468, https://ngdc.cncb.ac.cn/omix/release/OMIX010468)."						
The analysis and visualization of proteomics data were performed on the PTM BioCloud platform (http://www.ptmbiolab.com).						
No.	Protein accession	Protein description	Gene name	MW [kDa]	XOS500/CON Ratio	"XOS500/CON 
p value"
67	F1S451	Lactate dehydrogenase D OS=Sus scrofa OX=9823 GN=LDHD PE=1 SV=3	LDHD	52.0	0.720	0.0398
68	A0A5G2QSC5	5'-3' exoribonuclease 1 OS=Sus scrofa OX=9823 GN=XRN1 PE=3 SV=1	XRN1	193.2	1.218	0.0407
69	A0A287BBF7	E3 ubiquitin-protein ligase OS=Sus scrofa OX=9823 GN=WWP2 PE=1 SV=1	WWP2	89.2	0.771	0.0411
70	A0A287BLS6	Tudor domain-containing protein OS=Sus scrofa OX=9823 GN=AKAP1 PE=4 SV=2	AKAP1	92.6	0.826	0.0417
71	A0A287BLE1	Sequestosome 1 OS=Sus scrofa OX=9823 GN=SQSTM1 PE=4 SV=2	SQSTM1	48.9	1.258	0.0431
72	K7GPD4	Integrin beta OS=Sus scrofa OX=9823 GN=ITGB4 PE=1 SV=3	ITGB4	200.5	0.807	0.0437
73	P15468	Ribonuclease 4 OS=Sus scrofa OX=9823 GN=RNASE4 PE=1 SV=3	RNASE4	16.9	1.931	0.0438
74	A0A287AFS7	Uncharacterized protein OS=Sus scrofa OX=9823 GN=LOC102160380 PE=4 SV=1	LOC102160380	53.6	1.397	0.0451
75	A0A287BEQ9	Catenin delta 1 OS=Sus scrofa OX=9823 GN=CTNND1 PE=1 SV=2	CTNND1	101.1	0.726	0.0459
76	A0A5G2QR13	PDGFA associated protein 1 OS=Sus scrofa OX=9823 GN=PDAP1 PE=1 SV=1	PDAP1	20.3	1.331	0.0460
77	F1RRE9	Ring finger protein 150 OS=Sus scrofa OX=9823 GN=RNF150 PE=4 SV=4	RNF150	48.1	1.274	0.0468
78	F2Z5E7	Family with sequence similarity 49 member A OS=Sus scrofa OX=9823 GN=FAM49A PE=1 SV=1	FAM49A	37.3	1.243	0.0481
79	A0A287AWH8	Coatomer subunit zeta OS=Sus scrofa OX=9823 GN=COPZ1 PE=1 SV=2	COPZ1	23.4	0.695	0.0490
80	A0A287A9X1	"Isocitrate dehydrogenase [NAD] subunit, mitochondrial OS=Sus scrofa OX=9823 GN=IDH3G PE=3 SV=2"	IDH3G	41.5	0.527	0.0491
81	A0A5G2QZL2	"RAP1B, member of RAS oncogene family OS=Sus scrofa OX=9823 GN=RAP1B PE=1 SV=1"	RAP1B	16.0	0.806	0.0491
82	A0A5G2R318	Histone H2A OS=Sus scrofa OX=9823 GN=H2AFV PE=3 SV=1	H2AFV	13.5	0.715	0.0491
83	F1SEV8	Eukaryotic translation elongation factor 1 delta OS=Sus scrofa OX=9823 GN=EEF1D PE=1 SV=4	EEF1D	59.5	1.234	0.0498
84	A0A5G2QWF5	Uncharacterized protein OS=Sus scrofa OX=9823 GN=C2 PE=1 SV=1	C2	69.3	1.732	0.0499
85	A0A5G2R8A6	Serine/threonine-protein phosphatase OS=Sus scrofa OX=9823 GN=PPP3CB PE=1 SV=1	PPP3CB	57.2	1.273	0.0510
86	F1S3Q9	CN hydrolase domain-containing protein OS=Sus scrofa OX=9823 GN=VNN2 PE=4 SV=3	VNN2	33.5	0.618	0.0519
87	F1S3J7	"Papilin, proteoglycan like sulfated glycoprotein OS=Sus scrofa OX=9823 GN=PAPLN PE=1 SV=3"	PAPLN	103.3	1.240	0.0519
88	F1SBU7	"Lon protease homolog, mitochondrial OS=Sus scrofa OX=9823 GN=LONP1 PE=1 SV=2"	LONP1	103.5	0.803	0.0520
89	F1RVN1	"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial OS=Sus scrofa OX=9823 GN=NDUFV1 PE=1 SV=1"	NDUFV1	50.5	0.766	0.0532
90	A0A5G2QLJ4	USH1 protein network component harmonin OS=Sus scrofa OX=9823 GN=USH1C PE=1 SV=1	USH1C	59.9	0.544	0.0552
91	A0A5G2REY8	Ubiquinol-cytochrome c reductase core protein 2 OS=Sus scrofa OX=9823 GN=UQCRC2 PE=1 SV=1	UQCRC2	47.3	0.778	0.0559
92	F1RZT2	Prefoldin subunit 6 OS=Sus scrofa OX=9823 GN=PFDN6 PE=4 SV=1	PFDN6	14.6	1.550	0.0560
93	Q8MJ76	Alpha-fetoprotein OS=Sus scrofa OX=9823 GN=AFP PE=2 SV=1	AFP	68.6	1.393	0.0565
94	A0A5G2R0Z8	Hydroxysteroid dehydrogenase like 2 OS=Sus scrofa OX=9823 GN=HSDL2 PE=1 SV=1	HSDL2	45.3	0.706	0.0570
95	I3LI68	"Sucrase-isomaltase, intestinal OS=Sus scrofa OX=9823 GN=SI PE=1 SV=2"	SI	178.4	1.240	0.0575
96	F1S8N5	Huntingtin OS=Sus scrofa OX=9823 GN=HTT PE=1 SV=3	HTT	344.5	1.296	0.0582
97	A0A287AVF3	Enolase 2 OS=Sus scrofa OX=9823 GN=ENO2 PE=1 SV=2	ENO2	44.7	1.517	0.0591
98	A0A287A6Y3	Glia maturation factor OS=Sus scrofa OX=9823 GN=GMFB PE=1 SV=1	GMFB	15.8	1.206	0.0598
99	A0A5G2QCX4	"Protein phosphatase, Mg2+/Mn2+ dependent 1G OS=Sus scrofa OX=9823 GN=PPM1G PE=1 SV=1"	PPM1G	52.6	1.347	0.0604
100	F1RX45	Disco interacting protein 2 homolog C OS=Sus scrofa OX=9823 GN=DIP2C PE=1 SV=4	DIP2C	177.7	1.639	0.0605
101	A0A287ASL4	Tetratricopeptide repeat domain 4 OS=Sus scrofa OX=9823 GN=TTC4 PE=4 SV=2	TTC4	49.1	1.200	0.0606
102	A0A286ZL27	Sodium/glucose cotransporter 5 OS=Sus scrofa OX=9823 GN=SLC5A10 PE=1 SV=1	SLC5A10	31.2	1.533	0.0610
103	A0A287BIP4	Coagulation factor XII OS=Sus scrofa OX=9823 GN=F12 PE=3 SV=1	F12	71.2	1.227	0.0617
104	F1SJ90	Pseudopodium enriched atypical kinase 1 OS=Sus scrofa OX=9823 GN=PEAK1 PE=4 SV=2	PEAK1	192.9	0.687	0.0623
105	A0A287BB19	RAN binding protein 3 OS=Sus scrofa OX=9823 GN=RANBP3 PE=1 SV=1	RANBP3	62.5	1.305	0.0625
106	F1SGX4	Carbonyl reductase NADPH 3 OS=Sus scrofa OX=9823 GN=CBR3 PE=1 SV=1	CBR3	30.6	1.315	0.0630
107	F1RIU1	Phosphoserine phosphatase OS=Sus scrofa OX=9823 GN=PSPH PE=1 SV=1	PSPH	25.0	1.267	0.0640
108	A0A287AIG3	"Beta-1,4-galactosyltransferase 1 OS=Sus scrofa OX=9823 GN=B4GALT1 PE=1 SV=1"	B4GALT1	40.3	0.649	0.0645
109	A0A5G2RNL5	Stonin-2 OS=Sus scrofa OX=9823 GN=STON2 PE=3 SV=1	STON2	100.0	0.641	0.0648
110	P79381	Epoxide hydrolase 1 OS=Sus scrofa OX=9823 GN=EPHX1 PE=2 SV=1	EPHX1	52.4	0.734	0.0653
111	A0A287AFU9	Protegrin-4 OS=Sus scrofa OX=9823 GN=NPG4 PE=3 SV=1	NPG4	29.3	1.865	0.0658
112	A0A5G2QK91	ATP synthase subunit OS=Sus scrofa OX=9823 GN=ATP5MG PE=1 SV=1	ATP5MG	10.8	0.571	0.0659
113	F1RGN6	F-box protein 39 OS=Sus scrofa OX=9823 GN=FBXO39 PE=4 SV=3	FBXO39	31.6	0.654	0.0662
114	I3L8K1	Sortilin related receptor 1 OS=Sus scrofa OX=9823 GN=SORL1 PE=4 SV=2	SORL1	236.7	0.783	0.0671
115	F1RF77	"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 OS=Sus scrofa OX=9823 GN=PLOD1 PE=4 SV=4"	PLOD1	83.2	0.806	0.0679
116	F1S8U0	Deleted in primary ciliary dyskinesia homolog (mouse) OS=Sus scrofa OX=9823 GN=DPCD PE=4 SV=1	DPCD	23.2	1.302	0.0689
117	A0A287BF04	2-oxoglutarate and iron dependent oxygenase domain containing 2 OS=Sus scrofa OX=9823 GN=OGFOD2 PE=4 SV=2	OGFOD2	32.3	1.844	0.0697
118	A0A286ZY89	Phospholipid-transporting ATPase OS=Sus scrofa OX=9823 GN=ATP10B PE=3 SV=2	ATP10B	156.9	0.563	0.0704
119	F1RSP8	Leucine rich repeat containing 14 OS=Sus scrofa OX=9823 GN=LRRC14 PE=4 SV=2	LRRC14	49.2	0.644	0.0706
120	F1SRC8	C-type lectin domain family 3 member B OS=Sus scrofa OX=9823 GN=CLEC3B PE=1 SV=1	CLEC3B	22.2	1.435	0.0706
121	A0A5G2R631	Programmed cell death 5 OS=Sus scrofa OX=9823 GN=PDCD5 PE=1 SV=1	PDCD5	14.4	1.530	0.0712
122	F1SIS9	"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial OS=Sus scrofa OX=9823 GN=NDUFA10 PE=1 SV=1"	NDUFA10	40.4	0.756	0.0718
123	A0A5G2R2Q4	AIRC domain-containing protein OS=Sus scrofa OX=9823 GN=PAICS PE=1 SV=1	PAICS	47.0	1.255	0.0722
124	A0A5G2QS08	Uncharacterized protein OS=Sus scrofa OX=9823 GN=ARF5 PE=1 SV=1	ARF5	23.5	0.787	0.0722
125	A0A286ZRE1	Tropomyosin alpha-1 chain OS=Sus scrofa OX=9823 GN=TPM1 PE=1 SV=2	TPM1	39.2	1.450	0.0722
126	A0A287AQB8	Microsomal glutathione S-transferase 2 OS=Sus scrofa OX=9823 GN=MGST2 PE=1 SV=1	MGST2	17.0	0.697	0.0724
127	A0A287AHT1	Protein-serine/threonine kinase OS=Sus scrofa OX=9823 GN=PDK3 PE=1 SV=1	PDK3	47.9	0.635	0.0733
128	A0A286ZJ89	tRNA_edit domain-containing protein OS=Sus scrofa OX=9823 GN=LOC100514282 PE=1 SV=2	LOC100514282	28.7	1.208	0.0736
129	F1SHF6	HECT domain E3 ubiquitin protein ligase 1 OS=Sus scrofa OX=9823 GN=HECTD1 PE=1 SV=3	HECTD1	236.0	1.242	0.0738
130	A0A5G2QUZ8	ATP binding cassette subfamily B member 7 OS=Sus scrofa OX=9823 GN=ABCB7 PE=1 SV=1	ABCB7	76.4	0.805	0.0744
131	P16225	Sodium/potassium ATPase inhibitor SPAI-2 OS=Sus scrofa OX=9823 PE=1 SV=2	--	20.5	3.702	0.0744
132	F1SU59	Annexin OS=Sus scrofa OX=9823 GN=ANXA7 PE=1 SV=4	ANXA7	49.8	0.809	0.0748
133	A5A8V7	Heat shock 70 kDa protein 1-like OS=Sus scrofa OX=9823 GN=HSPA1L PE=2 SV=1	HSPA1L	70.3	0.786	0.0748
134	A0A286ZUW2	"N(alpha)-acetyltransferase 25, NatB auxiliary subunit OS=Sus scrofa OX=9823 GN=NAA25 PE=1 SV=1"	NAA25	108.7	1.448	0.0755
135	A0A5G2QT20	Tnp_22_dsRBD domain-containing protein OS=Sus scrofa OX=9823 PE=4 SV=1	--	51.9	0.792	0.0756
136	F1S1A8	"NADH dehydrogenase ubiquinone iron-sulfur protein 2, mitochondrial isoform 1 OS=Sus scrofa OX=9823 GN=NDUFS2 PE=1 SV=2"	NDUFS2	53.6	0.803	0.0756
137	I3L9K5	Nuclear casein kinase and cyclin dependent kinase substrate 1 OS=Sus scrofa OX=9823 GN=NUCKS1 PE=1 SV=3	NUCKS1	21.4	1.256	0.0764
138	A0A5G2R872	Glycoprotein A33 OS=Sus scrofa OX=9823 GN=GPA33 PE=1 SV=1	GPA33	32.4	0.819	0.0766
139	A0A5G2R5E9	Azurocidin OS=Sus scrofa OX=9823 GN=AZU1 PE=1 SV=1	AZU1	22.2	1.474	0.0767
140	I3LAD5	Signal transducing adaptor molecule OS=Sus scrofa OX=9823 GN=STAM PE=1 SV=3	STAM	55.7	1.234	0.0779
141	A0A480KM09	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6 OS=Sus scrofa OX=9823 GN=NDUFB6 PE=1 SV=1	NDUFB6	21.9	0.560	0.0782
142	F1SDY8	Zinc finger CCCH-type containing 14 OS=Sus scrofa OX=9823 GN=ZC3H14 PE=4 SV=4	ZC3H14	68.2	0.780	0.0793
143	F1RZN7	Uncharacterized protein OS=Sus scrofa OX=9823 GN=KLKB1 PE=1 SV=3	KLKB1	72.1	1.337	0.0800
144	I3LLM7	Uncharacterized protein OS=Sus scrofa OX=9823 GN=HIRIP3 PE=4 SV=2	HIRIP3	30.0	2.435	0.0803
145	F1SA17	ECSIT signalling integrator OS=Sus scrofa OX=9823 GN=ECSIT PE=1 SV=3	ECSIT	52.1	0.798	0.0805
146	F1RI46	Family with sequence similarity 98 member C OS=Sus scrofa OX=9823 GN=FAM98C PE=4 SV=1	FAM98C	39.0	0.830	0.0806
147	F1SCC9	SERPIN domain-containing protein OS=Sus scrofa OX=9823 GN=LOC106504545 PE=1 SV=2	LOC106504545	46.4	2.043	0.0807
148	A0A287AIT7	DNA (cytosine-5)-methyltransferase OS=Sus scrofa OX=9823 GN=DNMT1 PE=3 SV=1	DNMT1	175.2	1.747	0.0807
149	F1SHI1	Exostosin glycosyltransferase 2 OS=Sus scrofa OX=9823 GN=EXT2 PE=3 SV=3	EXT2	78.7	1.200	0.0814
150	P49930	Antibacterial peptide PMAP-23 OS=Sus scrofa OX=9823 GN=PMAP23 PE=2 SV=1	PMAP23	17.5	1.294	0.0819
151	A0A5G2Q7D7	"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Sus scrofa OX=9823 GN=SDHA PE=1 SV=1"	SDHA	71.1	0.779	0.0825
152	A0A287ADD0	Serine/arginine repetitive matrix 2 OS=Sus scrofa OX=9823 GN=SRRM2 PE=1 SV=1	SRRM2	272.4	0.767	0.0831
153	Q6UGB2	Methylsterol monooxygenase 1 OS=Sus scrofa OX=9823 GN=MSMO1 PE=2 SV=1	MSMO1	35.1	0.664	0.0838
154	A0A286ZU45	"Mannose-6-phosphate receptor, cation dependent OS=Sus scrofa OX=9823 GN=M6PR PE=1 SV=1"	M6PR	21.4	1.341	0.0851
155	F1RT10	CDKN2A interacting protein OS=Sus scrofa OX=9823 GN=CDKN2AIP PE=1 SV=3	CDKN2AIP	61.5	0.827	0.0857
156	Q8MI68	"Methylmalonyl-CoA mutase, mitochondrial OS=Sus scrofa OX=9823 GN=MMUT PE=2 SV=2"	MMUT	83.3	0.691	0.0862
157	A0A287A3Y1	GPALPP motifs-containing protein 1 isoform a OS=Sus scrofa OX=9823 GN=GPALPP1 PE=1 SV=1	GPALPP1	39.1	1.216	0.0863
158	A0A286ZWY2	Chromosome 19 open reading frame 54 OS=Sus scrofa OX=9823 GN=C19orf54 PE=4 SV=1	C19orf54	39.2	1.429	0.0865
159	A0A287AFK1	Calcium homeostasis modulator family member 6 OS=Sus scrofa OX=9823 GN=CALHM6 PE=4 SV=1	CALHM6	34.6	1.953	0.0868
160	F1SBH4	DNA-directed RNA polymerase III subunit RPC6 OS=Sus scrofa OX=9823 GN=POLR3F PE=3 SV=1	POLR3F	35.6	1.585	0.0882
161	K7GRA7	3'-phosphoadenosine 5'-phosphosulfate synthase 2 OS=Sus scrofa OX=9823 GN=PAPSS2 PE=1 SV=2	PAPSS2	68.6	1.484	0.0883
162	F2Z5V7	Mitochondrial import inner membrane translocase subunit Tim8 B OS=Sus scrofa OX=9823 GN=TIMM8B PE=1 SV=2	TIMM8B	12.7	1.297	0.0886
163	A0A5G2R3J9	Phosphatidylinositol 3-kinase catalytic subunit type 3 OS=Sus scrofa OX=9823 GN=PIK3C3 PE=3 SV=1	PIK3C3	94.2	1.227	0.0896
164	A0A287AE43	Rho GTPase activating protein 26 OS=Sus scrofa OX=9823 GN=ARHGAP26 PE=1 SV=2	ARHGAP26	83.0	0.829	0.0906
165	A0A5G2QYB0	"Microtubule associated monooxygenase, calponin and LIM domain containing 1 OS=Sus scrofa OX=9823 GN=MICAL1 PE=1 SV=1"	MICAL1	116.1	0.691	0.0910
166	A0A480STU2	Phospholysine phosphohistidine inorganic pyrophosphate phosphatase OS=Sus scrofa OX=9823 GN=LHPP PE=1 SV=1	LHPP	29.2	1.612	0.0915
167	K7GNE6	4F5 domain-containing protein OS=Sus scrofa OX=9823 GN=ZNF706 PE=4 SV=2	ZNF706	5.3	0.821	0.0921
168	A0A5G2QE41	Uncharacterized protein OS=Sus scrofa OX=9823 PE=4 SV=1	--	66.2	0.670	0.0925
169	K7GP53	Ubiquitin-like modifier-activating enzyme 7 OS=Sus scrofa OX=9823 GN=UBA7 PE=3 SV=2	UBA7	105.2	0.768	0.0926
170	A0A287AZF3	SYF2 pre-mRNA splicing factor OS=Sus scrofa OX=9823 GN=SYF2 PE=1 SV=1	SYF2	29.1	1.302	0.0929
